record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_emag_valid_rate,baseline_roc_auc,emag_roc_auc,delta_roc_auc,baseline_average_precision,emag_average_precision,baseline_recall_at_background_top5pct,emag_recall_at_background_top5pct,experiment_version
EMAG2-ABL-VANADIUM-F1,Vanadium,1,8,802,2,196,232,58,True,50.00000000,197.89426740,0.93939394,0.68877551,0.71428571,0.02551020,0.02444842,0.02575758,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F2,Vanadium,2,9,803,1,197,233,57,True,50.00000000,244.23144786,0.96464646,0.56852792,0.25380711,-0.31472081,0.01162791,0.00675676,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F3,Vanadium,3,8,793,2,207,231,59,True,50.00000000,649.39022427,0.95693780,0.30917874,0.27536232,-0.03381643,0.01021310,0.00989021,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F4,Vanadium,4,6,802,4,196,232,58,True,50.00000000,168.27337049,0.94000000,0.36479592,0.44387755,0.07908163,0.01933497,0.02236534,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F5,Vanadium,5,9,796,1,204,232,58,True,50.00000000,168.27337049,0.93170732,0.49509804,0.50980392,0.01470588,0.00961538,0.00990099,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-ALUMINIUM-F1,Aluminium,1,60,1673,9,414,244,60,True,50.00000000,51.32180287,0.93617021,0.74986581,0.65083199,-0.09903382,0.05734398,0.03314100,0.22222222,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-ALUMINIUM-F2,Aluminium,2,60,1657,9,433,243,61,True,50.00000000,56.77803891,0.95248869,0.77213241,0.79394406,0.02181165,0.04981136,0.05397723,0.11111111,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-ALUMINIUM-F3,Aluminium,3,55,1656,15,431,244,60,True,50.00000000,52.39086724,0.98878924,0.85444702,0.77911833,-0.07532869,0.12722129,0.09710569,0.26666667,0.13333333,emag2-spatial-ablation-v0.1
EMAG2-ABL-ALUMINIUM-F4,Aluminium,4,58,1674,12,410,242,62,True,50.00000000,51.32180287,0.95734597,0.67662602,0.74776423,0.07113821,0.04993550,0.05823985,0.08333333,0.08333333,emag2-spatial-ablation-v0.1
EMAG2-ABL-ALUMINIUM-F5,Aluminium,5,45,1672,25,412,243,61,True,50.00000000,52.39086724,0.93592677,0.63330097,0.65708738,0.02378641,0.08345149,0.09497316,0.04000000,0.08000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-IRON-F1,Iron,1,124,3570,18,816,258,59,True,50.00000000,50.88584485,0.98321343,0.75667211,0.80221950,0.04554739,0.05579396,0.07018054,0.16666667,0.16666667,emag2-spatial-ablation-v0.1
EMAG2-ABL-IRON-F2,Iron,2,81,3481,64,900,255,62,True,50.00000000,56.77803891,0.91286307,0.85296875,0.88930556,0.03633681,0.23842746,0.35959005,0.09375000,0.37500000,emag2-spatial-ablation-v0.1
EMAG2-ABL-IRON-F3,Iron,3,123,3566,17,833,252,65,True,50.00000000,50.81287473,0.96235294,0.75799732,0.74902902,-0.00896829,0.03983627,0.03988920,0.05882353,0.05882353,emag2-spatial-ablation-v0.1
EMAG2-ABL-IRON-F4,Iron,4,105,3488,38,874,252,65,True,50.00000000,56.61463862,0.96929825,0.81660243,0.81738528,0.00078285,0.13396540,0.14429913,0.23684211,0.28947368,emag2-spatial-ablation-v0.1
EMAG2-ABL-IRON-F5,Iron,5,136,3389,10,987,251,66,True,50.00000000,62.76051076,0.95185557,0.69898683,0.71600811,0.01702128,0.01672362,0.01789563,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-MANGANESE-F1,Manganese,1,37,2025,37,543,247,66,True,50.00000000,71.58810631,0.97241379,0.84809119,0.90100045,0.05290926,0.16955708,0.24671181,0.00000000,0.16216216,emag2-spatial-ablation-v0.1
EMAG2-ABL-MANGANESE-F2,Manganese,2,56,2060,26,512,255,58,True,50.00000000,62.14058956,0.96840149,0.85186298,0.85967548,0.00781250,0.23152383,0.20918802,0.46153846,0.30769231,emag2-spatial-ablation-v0.1
EMAG2-ABL-MANGANESE-F3,Manganese,3,53,2091,11,479,252,61,True,50.00000000,51.65622740,0.94285714,0.70639590,0.74017840,0.03378250,0.15434277,0.08481219,0.18181818,0.18181818,emag2-spatial-ablation-v0.1
EMAG2-ABL-MANGANESE-F4,Manganese,4,82,2026,4,546,250,63,True,50.00000000,58.13611881,0.94363636,0.91117216,0.92124542,0.01007326,0.08368455,0.12186761,0.25000000,0.25000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-MANGANESE-F5,Manganese,5,75,2073,8,500,248,65,True,50.00000000,58.13611881,0.93307087,0.84300000,0.77125000,-0.07175000,0.07316182,0.04002552,0.25000000,0.12500000,emag2-spatial-ablation-v0.1
EMAG2-ABL-CHROMIUM-F1,Chromium,1,15,801,3,198,226,57,True,50.00000000,50.66605829,0.96019900,0.93771044,0.95117845,0.01346801,0.69166667,0.69791667,0.66666667,0.66666667,emag2-spatial-ablation-v0.1
EMAG2-ABL-CHROMIUM-F2,Chromium,2,17,813,3,187,226,57,True,50.00000000,50.66605829,0.97368421,0.78253119,0.75401070,-0.02852050,0.20230769,0.05906593,0.33333333,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-CHROMIUM-F3,Chromium,3,12,783,5,216,227,56,True,50.00000000,53.49443562,0.95927602,0.93888889,0.95648148,0.01759259,0.21872200,0.32803708,0.40000000,0.40000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-CHROMIUM-F4,Chromium,4,18,785,2,215,226,57,True,50.00000000,119.97382242,0.90783410,0.97209302,0.95813953,-0.01395349,0.19642857,0.14090909,1.00000000,1.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-CHROMIUM-F5,Chromium,5,11,814,7,184,227,56,True,50.00000000,56.68464125,0.98429319,0.96894410,0.94254658,-0.02639752,0.48164574,0.52904168,0.85714286,0.57142857,emag2-spatial-ablation-v0.1
EMAG2-ABL-LEAD-F1,Lead,1,19,806,11,189,231,56,True,50.00000000,164.97430747,0.97000000,0.51611352,0.51755652,0.00144300,0.05956939,0.06031473,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-LEAD-F2,Lead,2,18,813,11,182,231,56,True,50.00000000,67.14351624,0.94818653,0.68781219,0.64085914,-0.04695305,0.12891027,0.11765858,0.00000000,0.09090909,emag2-spatial-ablation-v0.1
EMAG2-ABL-LEAD-F3,Lead,3,25,768,3,230,230,57,True,50.00000000,94.54590716,0.96137339,0.73768116,0.75942029,0.02173913,0.03978836,0.07668578,0.00000000,0.33333333,emag2-spatial-ablation-v0.1
EMAG2-ABL-LEAD-F4,Lead,4,28,794,2,205,227,60,True,50.00000000,114.01646580,0.94685990,0.51951220,0.52195122,0.00243902,0.02651515,0.02654762,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-LEAD-F5,Lead,5,25,806,3,194,229,58,True,50.00000000,67.14351624,0.93401015,0.86597938,0.87113402,0.00515464,0.08137084,0.09221131,0.33333333,0.33333333,emag2-spatial-ablation-v0.1
EMAG2-ABL-ZINC-F1,Zinc,1,19,777,2,221,234,57,True,50.00000000,229.98880804,0.95515695,0.56108597,0.53167421,-0.02941176,0.01484341,0.01414859,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-ZINC-F2,Zinc,2,15,793,6,202,233,58,True,50.00000000,79.71082847,0.95673077,0.77970297,0.69884488,-0.08085809,0.10596847,0.08556022,0.33333333,0.33333333,emag2-spatial-ablation-v0.1
EMAG2-ABL-ZINC-F3,Zinc,3,11,788,7,210,233,58,True,50.00000000,94.54590716,0.98156682,0.68843537,0.65306122,-0.03537415,0.07391708,0.06568564,0.00000000,0.14285714,emag2-spatial-ablation-v0.1
EMAG2-ABL-ZINC-F4,Zinc,4,20,803,1,195,230,60,True,50.00000000,319.57453381,0.95408163,0.73846154,0.69230769,-0.04615385,0.01923077,0.01639344,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-ZINC-F5,Zinc,5,14,824,5,172,233,58,True,50.00000000,79.71082847,0.92655367,0.67441860,0.63953488,-0.03488372,0.05408280,0.08405505,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-GOLD-F1,Gold,1,12,797,2,202,228,57,True,50.00000000,216.90306525,0.91666667,0.20297030,0.29207921,0.08910891,0.00916875,0.01019669,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-GOLD-F2,Gold,2,12,790,2,209,228,57,True,50.00000000,151.85635387,0.97630332,0.76794258,0.61004785,-0.15789474,0.03095238,0.01862069,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-GOLD-F3,Gold,3,8,803,6,196,231,54,True,50.00000000,83.28720839,0.96534653,0.71938776,0.64625850,-0.07312925,0.08299482,0.05288468,0.16666667,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-GOLD-F4,Gold,4,13,793,1,206,226,58,True,50.00000000,83.28720839,0.98550725,0.83495146,0.38349515,-0.45145631,0.02857143,0.00781250,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-GOLD-F5,Gold,5,11,812,3,187,226,59,True,50.00000000,193.04128855,0.94736842,0.23351159,0.48484848,0.25133690,0.01320271,0.02664619,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILVER-F1,Silver,1,15,822,5,178,231,59,True,50.00000000,82.56615404,0.93989071,0.78089888,0.74494382,-0.03595506,0.19833333,0.19413450,0.20000000,0.20000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILVER-F2,Silver,2,15,782,4,217,234,56,True,50.00000000,86.24381621,0.95927602,0.74423963,0.71428571,-0.02995392,0.10011694,0.09950246,0.50000000,0.50000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILVER-F3,Silver,3,17,811,2,189,233,57,True,50.00000000,63.00246496,0.96335079,0.95238095,0.95502646,0.00264550,0.14090909,0.14646465,1.00000000,1.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILVER-F4,Silver,4,13,786,7,211,233,57,True,50.00000000,167.26829095,0.96330275,0.21394719,0.28774543,0.07379824,0.02209865,0.02425364,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILVER-F5,Silver,5,18,792,2,205,229,61,True,50.00000000,82.56615404,0.97584541,0.54878049,0.61219512,0.06341463,0.04417582,0.04013605,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
