record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_sentinel_complete_rate,baseline_roc_auc,sentinel2_roc_auc,delta_roc_auc,baseline_average_precision,sentinel2_average_precision,baseline_recall_at_background_top5pct,sentinel2_recall_at_background_top5pct,experiment_version
S2-ABL-VANADIUM-F1,Vanadium,1,8,802,2,196,232,58,True,50.00000000,197.89426740,0.98484848,0.68877551,0.89285714,0.20408163,0.02444842,0.06971154,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-VANADIUM-F2,Vanadium,2,9,803,1,197,233,57,True,50.00000000,244.23144786,0.96464646,0.56852792,0.73096447,0.16243655,0.01162791,0.01851852,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-VANADIUM-F3,Vanadium,3,8,793,2,207,231,59,True,50.00000000,649.39022427,0.98086124,0.30917874,0.46135266,0.15217391,0.01021310,0.01880452,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-VANADIUM-F4,Vanadium,4,6,802,4,196,232,58,True,50.00000000,168.27337049,0.98000000,0.36479592,0.66836735,0.30357143,0.01933497,0.06618357,0.00000000,0.25000000,sentinel2-spatial-ablation-v0.1
S2-ABL-VANADIUM-F5,Vanadium,5,9,796,1,204,232,58,True,50.00000000,168.27337049,0.97073171,0.49509804,0.81862745,0.32352941,0.00961538,0.02631579,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-ALUMINIUM-F1,Aluminium,1,60,1673,9,414,244,60,True,50.00000000,51.32180287,0.96926714,0.74986581,0.73295760,-0.01690821,0.05734398,0.06820749,0.22222222,0.22222222,sentinel2-spatial-ablation-v0.1
S2-ABL-ALUMINIUM-F2,Aluminium,2,60,1657,9,433,243,61,True,50.00000000,56.77803891,0.97511312,0.77213241,0.71773159,-0.05440082,0.04981136,0.03794439,0.11111111,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-ALUMINIUM-F3,Aluminium,3,55,1656,15,431,244,60,True,50.00000000,52.39086724,0.98430493,0.85444702,0.75699923,-0.09744780,0.12722129,0.17963310,0.26666667,0.26666667,sentinel2-spatial-ablation-v0.1
S2-ABL-ALUMINIUM-F4,Aluminium,4,58,1674,12,410,242,62,True,50.00000000,51.32180287,0.95260664,0.67662602,0.68455285,0.00792683,0.04993550,0.04611748,0.08333333,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-ALUMINIUM-F5,Aluminium,5,45,1672,25,412,243,61,True,50.00000000,52.39086724,0.97254005,0.63330097,0.66660194,0.03330097,0.08345149,0.08804610,0.04000000,0.04000000,sentinel2-spatial-ablation-v0.1
