record_id,state_or_ut,block_name,mineral_source,normalized_material_ids_json,auction_date,concession_type_code,ibm_area_ha,review_scope,curated_candidate_count,document_selection_rule,document_match_status,selected_mbs_file_id,selected_mbs_title,selected_mbs_url,selected_mbs_pdf_sha256,selected_mbs_pdf_bytes,selected_mbs_pdf_page_count,mbs_area_ha,ibm_to_mbs_area_difference_pct,geometry_admission_status,geometry_admission_reason,source_portal_url,source_access_date,model_evidence_role,model_exclusion_reason
IBM-IMYB2024-AUCTION-011,Chhattisgarh,Tumrisur Garda II,Gold,"[""element:gold""]",2023-12-20,CL,240.0,curated_alpha_9,1,unique_curated_name_match,selected_curated_name_match,10832,Mineral Block Summary of Tumrisur-Garda II Gold Block dated 06-07-2023,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=10832_Mineral+Block+Summary+of+Tumrisur-Garda+II+Gold+Block+dated+06-07-2023.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,d44c1965659a39b7551469398126fc13ba6887338a02f1c5de9717789183819c,1822257,4,240.0,0.0,admitted_authoritative_source_footprint,"Source-labelled boundary table passed polygon validity, state-centroid and 5% area reconciliation checks.",https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-012,Gujarat,Mevasa Block-1,Bauxite (Aluminous Laterite) and Laterite (minor mineral),"[""element:aluminium"",""ore:bauxite"",""ore:aluminous-laterite"",""rock:laterite""]",2023-07-18,ML,5.99,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-013,Gujarat,Mevasa Block,"Bauxite, and Marl","[""element:aluminium"",""ore:bauxite"",""rock:marl""]",2023-07-18,ML,5.53,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-014,Gujarat,Kukaras block (Private),Limestone and Marl,"[""group:calcium-and-limestone"",""rock:limestone"",""rock:marl""]",2023-07-18,ML,29.17,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-015,Gujarat,Nandana Block,Bauxite Limestone and Marl,"[""element:aluminium"",""ore:bauxite"",""group:calcium-and-limestone"",""rock:limestone"",""rock:marl""]",2023-07-19,ML,29.17,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-016,Gujarat,Kodidra Block,Limestone and Marl,"[""group:calcium-and-limestone"",""rock:limestone"",""rock:marl""]",2023-07-19,ML,29.17,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-017,Gujarat,Virpur Lusari Block,"Bauxite (Aluminous Laterite), Limestone and Marl","[""element:aluminium"",""ore:bauxite"",""ore:aluminous-laterite"",""rock:laterite"",""group:calcium-and-limestone"",""rock:limestone"",""rock:marl""]",2023-07-21,ML,29.17,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-018,Jharkhand,Chiropat Bauxite Block/Gumla&Lohardaga,Bauxite,"[""element:aluminium"",""ore:bauxite""]",2023-04-20,ML,63.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-019,Jharkhand,Baraiburu - Tatiba Iron and Manganese Ore Block,Iron and Manganese Ore,"[""element:iron"",""ore:iron-ore"",""element:manganese""]",2023-08-18,CL,258.99,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-020,Jharkhand,Meralgara-Barabaljori Iron Ore Block,Iron Ore Block,"[""element:iron"",""ore:iron-ore""]",2023-08-10,ML,115.22,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
