record_id,material_name,known_evidence_records_raw,unique_positive_h3_cells,positive_h3_r3_groups,positive_soil_complete_cells,positive_soil_complete_rate,background_cells_sampled,background_soil_complete_rate,spatial_cv_folds,oof_positive_rows,oof_background_rows,baseline_roc_auc,soilgrids_roc_auc,delta_roc_auc,delta_roc_auc_group_bootstrap_ci95_low,delta_roc_auc_group_bootstrap_ci95_high,baseline_average_precision,soilgrids_average_precision,delta_average_precision,baseline_recall_at_background_top5pct,soilgrids_recall_at_background_top5pct,delta_recall_at_background_top5pct,baseline_brier_score,soilgrids_brier_score,folds_with_positive_auc_gain,folds_with_negative_auc_gain,minimum_test_positive_to_training_positive_km,admission_gate_result,soilgrids_feature_admission_decision,decision_reason,production_scoring_status,candidate_scores_recomputed,experiment_version,background_interpretation,baseline_features_json,soilgrids_features_json
SOIL-ABL-LITHIUM,Lithium,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-MOLYBDENUM,Molybdenum,4,4,4,4,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-NIOBIUM,Niobium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-NICKEL,Nickel,7,7,6,7,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-PLATINUM-GROUP-ELEMENTS,Platinum-group elements,8,8,8,7,0.87500000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-PHOSPHORUS,Phosphorus,85,70,38,69,0.98571429,2100,0.99380952,5,70,2100,0.73429252,0.69214286,-0.04214966,-0.08319535,-0.00893156,0.07620240,0.09218594,0.01598354,0.14285714,0.10000000,-0.04285714,0.09971148,0.09390551,1,4,56.61463862,False,not_admitted_performance_degraded,paired_out_of_fold_roc_auc_decreased,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-POTASH,Potash,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-RARE-EARTH-ELEMENTS,Rare-earth elements,9,5,5,5,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-RHENIUM,Rhenium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-SILICON,Silicon,110,93,50,93,1.00000000,2790,0.99175627,5,93,2790,0.74864146,0.73342583,-0.01521563,-0.04163419,0.01426938,0.07827538,0.08929932,0.01102394,0.19354839,0.24731183,0.05376344,0.10724628,0.10828083,0,5,52.05613767,False,not_admitted_performance_degraded,paired_out_of_fold_roc_auc_decreased,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-STRONTIUM,Strontium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
