record_id,record_class,fiscal_year,ibm_regional_office,source_page_number,source_table_index,source_table_row_number,source_serial_number,mine_name,mine_code,mine_code_basis,state_or_ut_source,state_or_ut,district_source,district,mineral_source,material_mapping_basis,normalized_top50_materials_json,chemical_names_json,symbols_or_formulae_json,owner_or_lessee,lease_area_ha,lease_area_source,lease_area_basis,inspection_type,inspecting_officer,inspection_date_source,inspection_date,violation_date_source,violation_date,show_cause_date_source,show_cause_date,violation_or_show_cause_source,remarks_source,inspection_report_urls_json,violation_notice_urls_json,show_cause_notice_urls_json,all_linked_document_urls_json,latitude,longitude,coordinates_available_in_summary_source,spatial_model_integration_status,source_id,source_url,source_page_title,source_page_title_fiscal_year_typo,source_html_file,source_html_sha256,source_accessed_date,inspection_date_within_fiscal_year
IBM-MCDR-EVT-5EE61C4350F5FE98,official_mcdr_inspection_table_event,2025-26,Bhubaneswar,1,1,2,1,Pottangi,,,Odisha,Odisha,Koraput,Koraput,Bauxite,explicit_mineral_column,"[""Aluminium""]","[""aluminium""]","[""Al""]",NALCO,,,,,"Vikram Deshpande, ACOM",22/05/2025,2025-05-22,,,,,,,[],[],[],"[""https://ibm.gov.in/writereaddata/files/175126006768621ba31ba2ePottangi_Signed_Report.pdf""]",,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports-and-violation-letters---2025-26--page-1--bhubaneswar-region-,ख. सं. एवं वि. नियमावली निरीक्षण रिपोर्ट और उल्लंघन पत्र - 2025-26 : पृष्ठ -1 भुवनेश्वर क्षेत्र,False,sources/raw/ibm_mcdr_inspection_pages/2025_26_bhubaneswar_p1.html,2bcec618e8d0cf9b64c134f2ebedf54e370f9184314a68e2b6c566feb2cf9494,2026-09-09,True
IBM-MCDR-EVT-81BF8669BE6BB82E,official_mcdr_inspection_table_event,2025-26,Goa,1,1,10,9,Durgamanwadi Bauxite Mine,,,,,,,Bauxite,explicit_mineral_column,"[""Aluminium""]","[""aluminium""]","[""Al""]",M/s. Hindalco Industries Ltd.,,,,,"Shri. Abhimanyu Singh Ogra, Sr.ACOM",21.05.2025,2025-05-21,,,,,,,[],[],[],"[""https://ibm.gov.in/writereaddata/files/17522178996870b92bd95f2MCDR_21.05.2025_Durgmanwadi_Bx._Mine_of_HINDALCO.pdf""]",,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports--violation-letters-etc--2025-26---goa-region,"एमसीडीआर निरीक्षण रिपोर्ट, उल्लंघन पत्र आदि 2025-26 : गोवा क्षेत्र",False,sources/raw/ibm_mcdr_inspection_pages/2025_26_goa_p1.html,a20d82fb0be0e73c7671dbcad3d253a392fd9e702e5b86b67f821031a8bb1d6f,2026-09-09,True
IBM-MCDR-EVT-F5408B76CD66D284,official_mcdr_inspection_table_event,2025-26,Goa,1,1,9,8,Dhangarwadi Bauxite Mine,,,,,,,Bauxite,explicit_mineral_column,"[""Aluminium""]","[""aluminium""]","[""Al""]",M/s. HINDALCO Ind. Ltd.,,,,,"Shri. Abhimanyu Singh Ogra, Sr.ACOM",20.05.2025,2025-05-20,,,,,,,[],[],[],"[""https://ibm.gov.in/writereaddata/files/17522184096870bb29cdeadMCDR_20.05.2025_Dhangarwadi_Bx._Mine_of_HINDALCO.pdf""]",,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports--violation-letters-etc--2025-26---goa-region,"एमसीडीआर निरीक्षण रिपोर्ट, उल्लंघन पत्र आदि 2025-26 : गोवा क्षेत्र",False,sources/raw/ibm_mcdr_inspection_pages/2025_26_goa_p1.html,a20d82fb0be0e73c7671dbcad3d253a392fd9e702e5b86b67f821031a8bb1d6f,2026-09-09,True
IBM-MCDR-EVT-411E18C4EFE09194,official_mcdr_inspection_table_event,2025-26,Goa,1,1,11,10,Halki Limestone & Dolomite Mine (M.L.No.2577),,,,,,,Limestone & Dolomite,explicit_mineral_column,"[""Magnesium"",""Calcium and limestone""]","[""calcium"",""calcium carbonate"",""magnesium"",""magnesium carbonate""]","[""Ca"",""CaCO3"",""Mg"",""MgCO3""]",M/s. J.K.Cement Ltd.,,,,,"Dr. Rakesh Kumar, JMG",19.05.2025,2025-05-19,,,,,,,[],[],[],"[""https://ibm.gov.in/writereaddata/files/17522174256870b7517fad4MCDR_19.05.2025_Halki_2577of_J.K.Cement.pdf""]",,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports--violation-letters-etc--2025-26---goa-region,"एमसीडीआर निरीक्षण रिपोर्ट, उल्लंघन पत्र आदि 2025-26 : गोवा क्षेत्र",False,sources/raw/ibm_mcdr_inspection_pages/2025_26_goa_p1.html,a20d82fb0be0e73c7671dbcad3d253a392fd9e702e5b86b67f821031a8bb1d6f,2026-09-09,True
IBM-MCDR-EVT-EEEB1A3B5738102F,official_mcdr_inspection_table_event,2025-26,Bhubaneswar,1,1,3,2,Nuagaon,,,Odisha,Odisha,Sundergarh,Sundergarh,Manganese,explicit_mineral_column,"[""Manganese""]","[""manganese""]","[""Mn""]",Tarini Minerals,,,,,"Shrinivas Budime, ACOM",13-05-2025,2025-05-13,,,,,,,[],[],[],"[""https://ibm.gov.in/writereaddata/files/17533376866881cf5649f38Approved_MCDR_Report_Nuagaon_Tarini_Minerals.pdf""]",,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports-and-violation-letters---2025-26--page-1--bhubaneswar-region-,ख. सं. एवं वि. नियमावली निरीक्षण रिपोर्ट और उल्लंघन पत्र - 2025-26 : पृष्ठ -1 भुवनेश्वर क्षेत्र,False,sources/raw/ibm_mcdr_inspection_pages/2025_26_bhubaneswar_p1.html,2bcec618e8d0cf9b64c134f2ebedf54e370f9184314a68e2b6c566feb2cf9494,2026-09-09,True
IBM-MCDR-EVT-D448BD8F288FC6EF,official_mcdr_inspection_table_event,2025-26,Dehradun,1,1,2,1,Kashlog Limestone Mine,38HPR11002,explicit_source_column,HP,Himachal Pradesh,Solan,Solan,Limestone,explicit_mineral_column,"[""Calcium and limestone""]","[""calcium"",""calcium carbonate""]","[""Ca"",""CaCO3""]",M/s Ambuja Cements Ltd,,,,MCDR/MMP,Matiul Islam,06-05-2025,2025-05-06,28-07-2025,2025-07-28,,,,,[],"[""https://ibm.gov.in/writereaddata/files/1754979454689adc7e6eabcVLkashlog.pdf""]",[],"[""https://ibm.gov.in/writereaddata/files/1754979315689adbf37bcf4Kashlog_MCDR.pdf"",""https://ibm.gov.in/writereaddata/files/1754979454689adc7e6eabcVLkashlog.pdf""]",,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-report-violation-letter-for-the-year-2025-26--dehradun-region-,"वर्ष 2025-26 के लिए एमसीडीआर रिपोर्ट, उल्लंघन पत्र (देहरादून क्षेत्र)",False,sources/raw/ibm_mcdr_inspection_pages/2025_26_dehradun_p1.html,a24e4eaa60228a33effbb4fd84afb21ff7b60e13d884f214940c0e74e1848b78,2026-09-09,True
IBM-MCDR-EVT-84A73C53B813D305,official_mcdr_inspection_table_event,2025-26,Goa,1,1,8,7,Minche Budruk Bauxite Mine,,,,,,,Bauxite,explicit_mineral_column,"[""Aluminium""]","[""aluminium""]","[""Al""]",Shri. Panditrao Mines & Minerals Pvt. Ltd.,,,,,"Shri. Krishnendu Chatterjee, SMG",01.05.2025,2025-05-01,,,,,,,[],[],[],[],,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports--violation-letters-etc--2025-26---goa-region,"एमसीडीआर निरीक्षण रिपोर्ट, उल्लंघन पत्र आदि 2025-26 : गोवा क्षेत्र",False,sources/raw/ibm_mcdr_inspection_pages/2025_26_goa_p1.html,a20d82fb0be0e73c7671dbcad3d253a392fd9e702e5b86b67f821031a8bb1d6f,2026-09-09,True
IBM-MCDR-EVT-1EA6C4232420FA80,official_mcdr_inspection_table_event,2025-26,Goa,1,1,7,6,Kanasageri Limeshell Mine (M.L.No.2675),,,,,,,Limeshell,explicit_mineral_column,"[""Calcium and limestone""]","[""calcium"",""calcium carbonate""]","[""Ca"",""CaCO3""]",Shri. Suresh P.Pednekar,,,,,"Shri. Vidyadhar.V. Tari, AME",29.04.2025,2025-04-29,,,,,,,[],[],[],"[""https://ibm.gov.in/writereaddata/files/1755065340689c2bfc607c8MCDR_29.04.2025_Kanasageri_Limeshell_Mine_M.L.No.2675_of_Sur.pdf""]",,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports--violation-letters-etc--2025-26---goa-region,"एमसीडीआर निरीक्षण रिपोर्ट, उल्लंघन पत्र आदि 2025-26 : गोवा क्षेत्र",False,sources/raw/ibm_mcdr_inspection_pages/2025_26_goa_p1.html,a20d82fb0be0e73c7671dbcad3d253a392fd9e702e5b86b67f821031a8bb1d6f,2026-09-09,True
IBM-MCDR-EVT-F3898033D86E6313,official_mcdr_inspection_table_event,2025-26,Raipur,1,1,12,11,JHARANDALLI,,,CG,Chhattisgarh,Balod,Balod,Iron Ore,explicit_mineral_column,"[""Iron""]","[""iron""]","[""Fe""]",BHILAI STEEL PLANT,719.6,719.6,explicit_source_column,,D Dash,27-04-2025,2025-04-27,,,,,,,[],[],[],[],,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports-and-violation-letters-2025-26--raipur-region-page-1,रायपुर एम सी डी आर निरीक्षण और उल्लंघन 2025-256 पृष्ठ-1,True,sources/raw/ibm_mcdr_inspection_pages/2025_26_raipur_p1.html,ec1b97fb22ee932b3b61e185b7a09b067876ee43ff0fd5cb624acf7ef498f16b,2026-09-09,True
IBM-MCDR-EVT-85CA63997D77BC1B,official_mcdr_inspection_table_event,2025-26,Raipur,1,1,11,10,INDRAVATIPUR,,,CG,Chhattisgarh,Balrampur,Balrampur,Graphite,explicit_mineral_column,"[""Graphite""]","[""carbon""]","[""C""]",S. J. MINERALS RESOURCES,67.11,67.11,explicit_source_column,,S K MAHAPATRA,25-04-2025,2025-04-25,19-05-2025,2025-05-19,,,,,[],[],[],[],,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports-and-violation-letters-2025-26--raipur-region-page-1,रायपुर एम सी डी आर निरीक्षण और उल्लंघन 2025-256 पृष्ठ-1,True,sources/raw/ibm_mcdr_inspection_pages/2025_26_raipur_p1.html,ec1b97fb22ee932b3b61e185b7a09b067876ee43ff0fd5cb624acf7ef498f16b,2026-09-09,True
IBM-MCDR-EVT-856D3F4F66CD9CEE,official_mcdr_inspection_table_event,2025-26,Hyderabad,1,1,2,1,PIMPERAKUNTA GUDA MINE,,,Telangana,Telangana,Adilabad,Adilabad,MANGANESE ORE,explicit_mineral_column,"[""Manganese""]","[""manganese""]","[""Mn""]",ADITYA MINERALS PRIVATE LIMITED,,,,,"Sri Kalmata MK,RMG",24-04-25,2025-04-24,,,,,,,[],[],[],"[""https://ibm.gov.in/writereaddata/files/17495336456847c3cd1262b1_40APR01009.pdf""]",,,False,inventory_only_not_used_as_spatial_evidence_without_exact_public_coordinates_or_polygon,SRC_IBM_MCDR_INSPECTIONS_2023_2026,https://ibm.gov.in/IBMPortal/pages/mcdr-inspection-reports-and-violation-letters---2025-26----hyderabad-region---page-1-,MCDR Inspection Reports and Violation Letters : 2025-26 : (Hyderabad Region : Page 1),False,sources/raw/ibm_mcdr_inspection_pages/2025_26_hyderabad_p1.html,b0e55034f4a8da79cc149f35964c4820d822f3b22104334f5fbc88845b6800fc,2026-09-09,True
