record_id,record_type,source_id,source_serial_number,state_or_ut,state_source,block_name,block_name_source,mineral_source,normalized_material_ids_json,normalized_material_names_json,chemical_or_english_names_json,formulae_or_symbols_json,auction_date,concession_type_code,concession_type,area_ha,area_ha_source,area_available,published_status,published_status_scope,latitude,longitude,coordinates_published,geometry_published,current_legal_or_operational_status_verified,model_evidence_role,model_exclusion_reason,source_table,source_pdf_page,source_printed_page,source_url,source_access_date,source_document_sha256,quality_flags_json,notes
IBM-IMYB2024-AUCTION-011,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,11,Chhattisgarh,Chhattisgarh,Tumrisur Garda II,Tumrisur Garda II,Gold,"[""element:gold""]","[""Gold""]","[""gold""]","[""Au""]",2023-12-20,CL,composite_licence,240.0,240,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-012,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,12,Gujarat,Gujarat,Mevasa Block-1,Mevasa Block-1,Bauxite (Aluminous Laterite) and Laterite (minor mineral),"[""element:aluminium"",""ore:bauxite"",""ore:aluminous-laterite"",""rock:laterite""]","[""Aluminium"",""Bauxite"",""Aluminous laterite"",""Laterite""]","[""aluminium"",""Bauxite"",""Aluminous laterite"",""Laterite""]","[""Al""]",2023-07-18,ML,mining_lease,5.99,5.99,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-013,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,13,Gujarat,Gujarat,Mevasa Block,Mevasa Block,"Bauxite, and Marl","[""element:aluminium"",""ore:bauxite"",""rock:marl""]","[""Aluminium"",""Bauxite"",""Marl""]","[""aluminium"",""Bauxite"",""Marl""]","[""Al""]",2023-07-18,ML,mining_lease,5.53,5.53,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-014,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,14,Gujarat,Gujarat,Kukaras block (Private),Kukaras block (Private),Limestone and Marl,"[""group:calcium-and-limestone"",""rock:limestone"",""rock:marl""]","[""Calcium and limestone"",""Limestone"",""Marl""]","[""calcium"",""calcium carbonate"",""Limestone"",""Marl""]",[],2023-07-18,ML,mining_lease,29.17,29.17,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-015,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,15,Gujarat,Gujarat,Nandana Block,Nandana Block,Bauxite Limestone and Marl,"[""element:aluminium"",""ore:bauxite"",""group:calcium-and-limestone"",""rock:limestone"",""rock:marl""]","[""Aluminium"",""Bauxite"",""Calcium and limestone"",""Limestone"",""Marl""]","[""aluminium"",""Bauxite"",""calcium"",""calcium carbonate"",""Limestone"",""Marl""]","[""Al""]",2023-07-19,ML,mining_lease,29.17,29.17,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-016,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,16,Gujarat,Gujarat,Kodidra Block,Kodidra Block,Limestone and Marl,"[""group:calcium-and-limestone"",""rock:limestone"",""rock:marl""]","[""Calcium and limestone"",""Limestone"",""Marl""]","[""calcium"",""calcium carbonate"",""Limestone"",""Marl""]",[],2023-07-19,ML,mining_lease,29.17,29.17,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-017,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,17,Gujarat,Gujarat,Virpur Lusari Block,Virpur Lusari Block,"Bauxite (Aluminous Laterite), Limestone and Marl","[""element:aluminium"",""ore:bauxite"",""ore:aluminous-laterite"",""rock:laterite"",""group:calcium-and-limestone"",""rock:limestone"",""rock:marl""]","[""Aluminium"",""Bauxite"",""Aluminous laterite"",""Laterite"",""Calcium and limestone"",""Limestone"",""Marl""]","[""aluminium"",""Bauxite"",""Aluminous laterite"",""Laterite"",""calcium"",""calcium carbonate"",""Limestone"",""Marl""]","[""Al""]",2023-07-21,ML,mining_lease,29.17,29.17,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-018,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,18,Jharkhand,Jharkhand,Chiropat Bauxite Block/Gumla&Lohardaga,Chiropat Bauxite Block/Gumla&Lohardaga,Bauxite,"[""element:aluminium"",""ore:bauxite""]","[""Aluminium"",""Bauxite""]","[""aluminium"",""Bauxite""]","[""Al""]",2023-04-20,ML,mining_lease,63.0,63,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-019,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,19,Jharkhand,Jharkhand,Baraiburu - Tatiba Iron and Manganese Ore Block,Baraiburu - Tatiba Iron and Manganese Ore Block,Iron and Manganese Ore,"[""element:iron"",""ore:iron-ore"",""element:manganese""]","[""Iron"",""Iron ore"",""Manganese""]","[""iron"",""Iron ore"",""manganese""]","[""Fe"",""Mn""]",2023-08-18,CL,composite_licence,258.99,258.99,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-020,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,20,Jharkhand,Jharkhand,Meralgara-Barabaljori Iron Ore Block,Meralgara-Barabaljori Iron Ore Block,Iron Ore Block,"[""element:iron"",""ore:iron-ore""]","[""Iron"",""Iron ore""]","[""iron"",""Iron ore""]","[""Fe""]",2023-08-10,ML,mining_lease,115.22,115.22,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,41,26,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
