record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_soil_complete_rate,baseline_roc_auc,soilgrids_roc_auc,delta_roc_auc,baseline_average_precision,soilgrids_average_precision,baseline_recall_at_background_top5pct,soilgrids_recall_at_background_top5pct,experiment_version
SOIL-ABL-TITANIUM-F5,Titanium,5,30,788,3,212,226,57,True,50.00000000,88.37299637,0.99534884,0.85691824,0.87578616,0.01886792,0.05932706,0.07200368,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-VANADIUM-F1,Vanadium,1,8,802,2,196,232,58,True,50.00000000,197.89426740,1.00000000,0.68877551,0.70408163,0.01530612,0.02444842,0.02462462,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-VANADIUM-F2,Vanadium,2,9,803,1,197,233,57,True,50.00000000,244.23144786,0.97979798,0.56852792,0.20304569,-0.36548223,0.01162791,0.00632911,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-VANADIUM-F3,Vanadium,3,8,793,2,207,231,59,True,50.00000000,649.39022427,0.97607656,0.30917874,0.30676329,-0.00241546,0.01021310,0.01005124,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-VANADIUM-F4,Vanadium,4,6,802,4,196,232,58,True,50.00000000,168.27337049,0.99000000,0.36479592,0.72576531,0.36096939,0.01933497,0.04776650,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-VANADIUM-F5,Vanadium,5,9,796,1,204,232,58,True,50.00000000,168.27337049,1.00000000,0.49509804,0.50490196,0.00980392,0.00961538,0.00980392,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ALUMINIUM-F1,Aluminium,1,60,1673,9,414,244,60,True,50.00000000,51.32180287,0.98345154,0.74986581,0.68679549,-0.06307032,0.05734398,0.04308284,0.22222222,0.22222222,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ALUMINIUM-F2,Aluminium,2,60,1657,9,433,243,61,True,50.00000000,56.77803891,0.99773756,0.77213241,0.73774698,-0.03438542,0.04981136,0.04613328,0.11111111,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ALUMINIUM-F3,Aluminium,3,55,1656,15,431,244,60,True,50.00000000,52.39086724,0.99551570,0.85444702,0.89017788,0.03573086,0.12722129,0.17928728,0.26666667,0.33333333,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ALUMINIUM-F4,Aluminium,4,58,1674,12,410,242,62,True,50.00000000,51.32180287,0.98815166,0.67662602,0.70203252,0.02540650,0.04993550,0.04979169,0.08333333,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ALUMINIUM-F5,Aluminium,5,45,1672,25,412,243,61,True,50.00000000,52.39086724,0.99313501,0.63330097,0.72213592,0.08883495,0.08345149,0.12254324,0.04000000,0.20000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-IRON-F1,Iron,1,124,3570,18,816,258,59,True,50.00000000,50.88584485,0.99520384,0.75667211,0.77069717,0.01402505,0.05579396,0.05837666,0.16666667,0.16666667,soilgrids-spatial-ablation-v0.1
SOIL-ABL-IRON-F2,Iron,2,81,3481,64,900,255,62,True,50.00000000,56.77803891,0.98962656,0.85296875,0.84451389,-0.00845486,0.23842746,0.24660892,0.09375000,0.23437500,soilgrids-spatial-ablation-v0.1
SOIL-ABL-IRON-F3,Iron,3,123,3566,17,833,252,65,True,50.00000000,50.81287473,0.99294118,0.75799732,0.74606313,-0.01193419,0.03983627,0.04109981,0.05882353,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-IRON-F4,Iron,4,105,3488,38,874,252,65,True,50.00000000,56.61463862,0.98793860,0.81660243,0.75457666,-0.06202577,0.13396540,0.12115018,0.23684211,0.21052632,soilgrids-spatial-ablation-v0.1
SOIL-ABL-IRON-F5,Iron,5,136,3389,10,987,251,66,True,50.00000000,62.76051076,0.99598796,0.69898683,0.72380952,0.02482270,0.01672362,0.01823330,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-MANGANESE-F1,Manganese,1,37,2025,37,543,247,66,True,50.00000000,71.58810631,0.98793103,0.84809119,0.79538102,-0.05271017,0.16955708,0.13492777,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-MANGANESE-F2,Manganese,2,56,2060,26,512,255,58,True,50.00000000,62.14058956,0.99628253,0.85186298,0.71228966,-0.13957332,0.23152383,0.19366087,0.46153846,0.42307692,soilgrids-spatial-ablation-v0.1
SOIL-ABL-MANGANESE-F3,Manganese,3,53,2091,11,479,252,61,True,50.00000000,51.65622740,0.98571429,0.70639590,0.68741697,-0.01897893,0.15434277,0.11362512,0.18181818,0.27272727,soilgrids-spatial-ablation-v0.1
SOIL-ABL-MANGANESE-F4,Manganese,4,82,2026,4,546,250,63,True,50.00000000,58.13611881,0.99090909,0.91117216,0.81639194,-0.09478022,0.08368455,0.06579623,0.25000000,0.25000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-MANGANESE-F5,Manganese,5,75,2073,8,500,248,65,True,50.00000000,58.13611881,0.99015748,0.84300000,0.82350000,-0.01950000,0.07316182,0.06157793,0.25000000,0.25000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-CHROMIUM-F1,Chromium,1,15,801,3,198,226,57,True,50.00000000,50.66605829,0.99502488,0.93771044,0.95791246,0.02020202,0.69166667,0.48611111,0.66666667,0.66666667,soilgrids-spatial-ablation-v0.1
SOIL-ABL-CHROMIUM-F2,Chromium,2,17,813,3,187,226,57,True,50.00000000,50.66605829,0.99473684,0.78253119,0.73618538,-0.04634581,0.20230769,0.39598109,0.33333333,0.33333333,soilgrids-spatial-ablation-v0.1
SOIL-ABL-CHROMIUM-F3,Chromium,3,12,783,5,216,227,56,True,50.00000000,53.49443562,0.99547511,0.93888889,0.93240741,-0.00648148,0.21872200,0.48382143,0.40000000,0.40000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-CHROMIUM-F4,Chromium,4,18,785,2,215,226,57,True,50.00000000,119.97382242,0.98156682,0.97209302,0.99767442,0.02558140,0.19642857,0.83333333,1.00000000,1.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-CHROMIUM-F5,Chromium,5,11,814,7,184,227,56,True,50.00000000,56.68464125,0.99476440,0.96894410,0.95419255,-0.01475155,0.48164574,0.52379900,0.85714286,0.57142857,soilgrids-spatial-ablation-v0.1
SOIL-ABL-LEAD-F1,Lead,1,19,806,11,189,231,56,True,50.00000000,164.97430747,0.99000000,0.51611352,0.42424242,-0.09187109,0.05956939,0.06745125,0.00000000,0.09090909,soilgrids-spatial-ablation-v0.1
SOIL-ABL-LEAD-F2,Lead,2,18,813,11,182,231,56,True,50.00000000,67.14351624,1.00000000,0.68781219,0.69980020,0.01198801,0.12891027,0.24627477,0.00000000,0.36363636,soilgrids-spatial-ablation-v0.1
SOIL-ABL-LEAD-F3,Lead,3,25,768,3,230,230,57,True,50.00000000,94.54590716,0.99570815,0.73768116,0.67681159,-0.06086957,0.03978836,0.02622644,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-LEAD-F4,Lead,4,28,794,2,205,227,60,True,50.00000000,114.01646580,0.99033816,0.51951220,0.34146341,-0.17804878,0.02651515,0.01240668,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-LEAD-F5,Lead,5,25,806,3,194,229,58,True,50.00000000,67.14351624,0.98477157,0.86597938,0.77319588,-0.09278351,0.08137084,0.04536995,0.33333333,0.00000000,soilgrids-spatial-ablation-v0.1
