event_id,auction_tranche,portal_link_order,block_name,state_or_ut,district,concession_type,block_area_ha,source_materials_json,coordinates_available_in_source,geometry_type,geometry_vertex_count,geometry_area_geodesic_ha,geometry_area_difference_pct,geometry_extraction_method,geometry_quality_flag,centroid_within_stated_state_2011,spatial_validation_note,concession_type_extraction_method,source_pdf_filename,source_pdf_sha256,source_pdf_bytes,source_pdf_page_count,auction_notice_pdf_filename,auction_notice_pdf_sha256,auction_notice_pdf_bytes,auction_notice_pdf_page_count,portal_link_title,source_url,mbs_source_url,geometry_source_url,extraction_notes
T1-O11,1,11,Kurunjakulam Graphite Block,Tamil Nadu,Tenkasi,CL,265.66,"[""Graphite""]",True,Polygon,4,265.2981685296297,0.13620096001291307,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12685_MBS_Kurunjakulam_Graphite_Block.pdf,1d021764b7b7fe0209759cb7c83878f544d653e17e66da9e654d93ac476d2559,944509,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Kurunjakulam Graphite Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12685_MBS_Kurunjakulam%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12685_MBS_Kurunjakulam%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O12,1,12,Mannadipatti Central Molybdenum Block,Tamil Nadu,Krishnagiri,CL,58.68,"[""Molybdenum""]",True,Polygon,6,58.61642137107202,0.10834803839123693,pypdf_text_from_official_nit_fallback,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12684_MBS_Mannadipatti_Central_Molybdenum_Block.pdf,a992bc5f2650324a0c1d320394853e253509685b39890fb37107d59ecc1a3b88,1021903,4,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Mannadipatti Central Molybdenum Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12684_MBS_Mannadipatti%20Central%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O13,1,13,Marudipatti (Central) Molybdenum Block,Tamil Nadu,Dharmapuri,ML,48.25,"[""Molybdenum""]",True,Polygon,4,50.483993803660574,4.630038971317252,pypdf_text,accepted,True,,official_nit_table,T1_12683_MBS_Marudipatti_Central_Molybdenum_Block.pdf,0bbd7212c85816a3660bd76f38ea4990299834b057854690df340a12b3b859ea,494588,4,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Marudipatti Central Molybdenum Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12683_MBS_Marudipatti%20Central%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12683_MBS_Marudipatti%20Central%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O14,1,14,Muskaniya-Gareriatola-Barwari Potash Block,Jharkhand,Garhwa,CL,513.69,"[""Potash""]",True,Polygon,4,513.2543952418328,0.08479915088230275,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12682_MBS_Muskaniya-Gareriatola-Barwari_Potash_Block.pdf,9ea9038b69e535ddc32ae2a5d1677f2467c6bc5531e62b3acdd40b89af97f75a,781473,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Muskaniya-Gareriatola-Barwari Potash Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12682_MBS_Muskaniya-Gareriatola-Barwari%20Potash%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12682_MBS_Muskaniya-Gareriatola-Barwari%20Potash%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O15,1,15,Nochchipatti Molybdenum Block,Tamil Nadu,Krishnagiri,CL,299.82,"[""Molybdenum""]",True,Polygon,4,299.5067140358448,0.104491349528107,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12681_MBS_Nochchipatti_Molybdenum_Block.pdf,6d3d26a141e42ecea984d559eaf98b1587ee18954dba215c3880be95f1089b1b,707764,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Nochchipatti Molybdenum Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12681_MBS_Nochchipatti%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12681_MBS_Nochchipatti%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O16,1,16,Pahadi Kalan-Gora Kalan Phosphorite Block,Uttar Pradesh,Lalitpur,CL,1393.83,"[""Phosphorite""]",True,Polygon,6,1393.1700222819738,0.047349943538744645,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12680_MBS_Pahadi_Kalan-Gora_Kalan_Phosphorite_Block.pdf,f088dd5762fbfcca52fd819b7ca94b4ad872e802f84eb846c3ff29a5d32fd393,737282,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Pahadi Kalan-Gora Kalan Phosphorite Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12680_MBS_Pahadi%20Kalan-Gora%20Kalan%20Phosphorite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12680_MBS_Pahadi%20Kalan-Gora%20Kalan%20Phosphorite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O17,1,17,Pipradih-Bhurwa Glauconite Block,Bihar,Rohtas,CL,415.38,"[""Glauconite""]",True,Polygon,4,414.881304153049,0.12005774157422668,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12679_MBS_Pipradih-Bhurwa_Glauconite_Block.pdf,eb4cdf3cd479aff08076e05f8ad712410e6c521bd570dc86b7a12bcb3d5807bf,904151,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Pipradih-Bhurwa Glauconite Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12679_MBS_Pipradih-Bhurwa%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12679_MBS_Pipradih-Bhurwa%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O18,1,18,"Salal-Haimna Lithium, Titanium and Bauxite (Aluminous Laterite) Block",UT: Jammu and Kashmir,Reasi,CL,317.638,"[""Aluminous Laterite"",""Bauxite"",""Lithium"",""Titanium""]",True,Polygon,5,317.8909881235838,0.07964668068172094,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12678_MBS_Salal-Haimna_Lithium_Titanium_and_Bauxite_Aluminous_Laterite_Block.pdf,1b363fa1a6b8fd9add32f11728cc0bb2d182fd18ae185c30bf460ed3a9f28fc9,617439,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Salal-Haimna Lithium Titanium and Bauxite Aluminous Laterite Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,"https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12678_MBS_Salal-Haimna%20Lithium,%20Titanium%20and%20Bauxite%20Aluminous%20Laterite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-","https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12678_MBS_Salal-Haimna%20Lithium,%20Titanium%20and%20Bauxite%20Aluminous%20Laterite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-",
T1-O19,1,19,Velampatti North A&B Molybdenum Block,Tamil Nadu,Dharmapuri,CL,102.86,"[""Molybdenum""]",True,Polygon,4,102.74729636062793,0.10956993911342748,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12677_MBS_Velampatti_North_A_and_B_Molybdenum_Block.pdf,a800759e98e533b7b2225fd09dabac69de5d70362dac119d20bc2c7a1db3e976,708921,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Velampatti North A and B Molybdenum Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12677_MBS_Velampatti%20North%20A%20and%20B%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12677_MBS_Velampatti%20North%20A%20and%20B%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O20,1,20,Vellakkal Central (Segment-A) Molybdenum Block,Tamil Nadu,Krishnagiri,CL,65.17,"[""Molybdenum""]",True,Polygon,4,65.09487748149634,0.11527162575366225,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12676_MBS_Vellakkal_Central_Segment-A_Molybdenum_Block.pdf,6e6102faca9fb8e7f194661c7896881ea3aa6a35642fa694d839a588ab4539da,697312,6,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Vellakkal Central Segment-A Molybdenum Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12676_MBS_Vellakkal%20Central%20Segment-A%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12676_MBS_Vellakkal%20Central%20Segment-A%20Molybdenum%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
