record_id,material_name,known_evidence_records_raw,unique_positive_h3_cells,positive_h3_r3_groups,positive_sentinel_complete_cells,positive_sentinel_complete_rate,background_cells_sampled,background_sentinel_complete_rate,spatial_cv_folds,oof_positive_rows,oof_background_rows,baseline_roc_auc,sentinel2_roc_auc,delta_roc_auc,delta_roc_auc_group_bootstrap_ci95_low,delta_roc_auc_group_bootstrap_ci95_high,baseline_average_precision,sentinel2_average_precision,delta_average_precision,baseline_recall_at_background_top5pct,sentinel2_recall_at_background_top5pct,delta_recall_at_background_top5pct,baseline_brier_score,sentinel2_brier_score,folds_with_positive_auc_gain,folds_with_negative_auc_gain,minimum_test_positive_to_training_positive_km,admission_gate_result,sentinel2_feature_admission_decision,decision_reason,production_scoring_status,candidate_scores_recomputed,experiment_version,background_interpretation,baseline_features_json,sentinel2_features_json
S2-ABL-LITHIUM,Lithium,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-MOLYBDENUM,Molybdenum,4,4,4,4,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-NIOBIUM,Niobium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-NICKEL,Nickel,7,7,6,7,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-PLATINUM-GROUP-ELEMENTS,Platinum-group elements,8,8,8,8,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-PHOSPHORUS,Phosphorus,85,70,38,69,0.98571429,2100,0.97238095,5,70,2100,0.73429252,0.64467347,-0.08961905,-0.16432387,-0.00267614,0.07620240,0.06463530,-0.01156710,0.14285714,0.14285714,0.00000000,0.09971148,0.09939142,1,4,56.61463862,False,not_admitted_performance_degraded,paired_out_of_fold_roc_auc_decreased,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-POTASH,Potash,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-RARE-EARTH-ELEMENTS,Rare-earth elements,9,5,5,5,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-RHENIUM,Rhenium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-SILICON,Silicon,110,93,50,90,0.96774194,2790,0.96702509,5,93,2790,0.74864146,0.73455891,-0.01408255,-0.06245787,0.03156848,0.07827538,0.07279979,-0.00547558,0.19354839,0.10752688,-0.08602151,0.10724628,0.10288296,1,4,52.05613767,False,not_admitted_performance_degraded,paired_out_of_fold_roc_auc_decreased,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-STRONTIUM,Strontium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-TANTALUM,Tantalum,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-TELLURIUM,Tellurium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-TIN,Tin,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-TITANIUM,Titanium,39,33,27,33,1.00000000,1000,0.96300000,5,33,1000,0.77478788,0.72336364,-0.05142424,-0.11678485,-0.00411977,0.11524884,0.11897193,0.00372309,0.24242424,0.24242424,0.00000000,0.14667932,0.15029255,2,2,75.88025371,False,not_admitted_performance_degraded,paired_out_of_fold_roc_auc_decreased,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-TUNGSTEN,Tungsten,3,3,3,3,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-VANADIUM,Vanadium,10,10,8,10,1.00000000,1000,0.97600000,5,10,1000,0.42930000,0.68170000,0.25240000,0.08899429,0.37637671,0.00894567,0.02295680,0.01401112,0.00000000,0.10000000,0.10000000,0.18913525,0.12914383,5,0,168.27337049,False,not_admitted_inconclusive_or_below_threshold,one_or_more_predefined_admission_gates_failed,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-ZIRCONIUM,Zirconium,12,6,5,6,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-SELENIUM,Selenium,2,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-CADMIUM,Cadmium,4,4,4,4,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
